name,freq,value
vaheri vaheri,1,PER
paavo,10,PER
stanislav tserepanov,2,PER
kanteri,1,PER
klenski,6,PER
jelena gala,1,PER
siim sander,1,PER
andres anvelti,4,PER
jaan anvelt,2,PER
andres anvelt,33,PER
maima,2,PER
kaskpeiti,1,PER
innar,2,PER
vahur,4,PER
hannele,1,PER
valter,2,PER
vladimir klein,1,PER
faye,2,PER
ojuland triin,1,PER
riina,2,PER
aimar altosaar,5,PER
eda,4,PER
aimar altosaarpart,1,PER
sami,1,PER
mati eliste,1,PER
aimar,1,PER
rosimannus,27,PER
fayed,1,PER
hingis,1,PER
bush,9,PER
marek ajo,1,PER
risto,11,PER
teodoro,1,PER
miliband,1,PER
angela merkeli,1,PER
alexander stubb,5,PER
aleksandrs,2,PER
floy,1,PER
telset lääne-euroopa,1,PER
master main,1,PER
villu jürjo,1,PER
kuliikmei,1,PER
buffetti,1,PER
klementi ericsson,1,PER
leo,3,PER
sergius,2,PER
tullio liblik,2,PER
einar vettus,2,PER
tarmo pedjasaar,2,PER
shiraki,1,PER
manuel norie,1,PER
chirac,1,PER
moshe katsavi,1,PER
dmitri,2,PER
elmar mandre,1,PER
aivar ein,1,PER
jõksi,7,PER
eero loone,1,PER
saakasvili,1,PER
tiit matsulevits,1,PER
ignar fjuk,76,PER
ain pork,1,PER
eero,1,PER
phuketi,1,PER
braxi,1,PER
kirilli,2,PER
kazulin,1,PER
kaia kanepi,1,PER
disney,3,PER
deyv,2,PER
helena tamula,1,PER
liisa liisa pakosta,2,PER
liisa pakosta,17,PER
pakosta,9,PER
tatjana jaanson,1,PER
pakosta herkeli,1,PER
herkel,14,PER
aapo,4,PER
inna,2,PER
andres herkel,24,PER
domus,2,PER
tamara,1,PER
karolin,2,PER
rain,11,PER
illimar tuglas,1,PER
andrus kivirähu,5,PER
kender,16,PER
warhol,1,PER
gul,1,PER
pipa norris,1,PER
rain eller,1,PER
eerik niiles,1,PER
milius,1,PER
litvinenko,1,PER
tiit matsulevitsi,1,PER
liberty,13,PER
pentagon,6,PER
kostas,2,PER
aaviksoo juhan,1,PER
kelam,3,PER
pristinas,1,PER
joon-liisa pakosta,1,PER
uljanov,1,PER
lenin,7,PER
